ID,Name,Set Name,Set Code,Rarity,Card Type,Affiliation,File Name,Has AI,Has Foil,Has Tribble,Tags
AGT-001,Environmental Suit,All Good Things,AGT,Promo,Equipment,,images/AGT/AGT-001.jpeg,,,,
AGT-002,Espionage: Bajoran on Dominion,All Good Things,AGT,Promo,Event,,images/AGT/AGT-002.jpeg,,,,
AGT-003,Shape-Shift Inhibitor,All Good Things,AGT,Promo,Event,,images/AGT/AGT-003.jpeg,,,,
AGT-004,Timepod Ring,All Good Things,AGT,Promo,Event,,images/AGT/AGT-004.jpeg,,,,
AGT-005,Treacherous Advice,All Good Things,AGT,Promo,Event,,images/AGT/AGT-005.jpeg,,,,
AGT-006,Bluegill Infestation,All Good Things,AGT,Promo,Incident,,images/AGT/AGT-006.jpeg,,,,
AGT-007,Kobayashi Maru Scenario,All Good Things,AGT,Promo,Incident,,images/AGT/AGT-007.jpeg,,,,
AGT-008,Strategema,All Good Things,AGT,Promo,Incident,,images/AGT/AGT-008.jpeg,,,,
AGT-009,Changeling Sweep,All Good Things,AGT,Promo,Interrupt,,images/AGT/AGT-009.jpeg,,,,
AGT-010,Dimensional Shifting,All Good Things,AGT,Promo,Interrupt,,images/AGT/AGT-010.jpeg,,,,
AGT-011,Empathic Touch,All Good Things,AGT,Promo,Interrupt,,images/AGT/AGT-011.jpeg,,,,
AGT-012,Aid Clone Colony,All Good Things,AGT,Promo,Mission,,images/AGT/AGT-012.jpeg,,,,
AGT-013,In for a Trim,All Good Things,AGT,Promo,Objective,,images/AGT/AGT-013.jpeg,,,,
AGT-014,Colonel Kira,All Good Things,AGT,Promo,Personnel,Bajoran,images/AGT/AGT-014.jpeg,,,,
AGT-015,❖ Shandor,All Good Things,AGT,Promo,Personnel,Bajoran,images/AGT/AGT-015.jpeg,,,,
AGT-016,Admiral Janeway,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-016.jpeg,,,,
AGT-017,Admiral Riker,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-017.jpeg,,,,
AGT-018,Christopher Pike,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-018.jpeg,,,,
AGT-019,Gideon Seyetik,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-019.jpeg,,,,
AGT-020,❖ Lt. Palmer,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-020.jpeg,,,,
AGT-021,Miral Paris,All Good Things,AGT,Promo,Personnel,Federation/Klingon,images/AGT/AGT-021.jpeg,,,,
AGT-022,Miral Paris,All Good Things,AGT,Promo,Personnel,Klingon/Federation,images/AGT/AGT-022-ai.jpeg,true,,,
AGT-023,Raymond Boone,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-023.jpeg,,,,
AGT-024,Robert DeSoto,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-024.jpeg,,,,
AGT-025,Yeoman Rand,All Good Things,AGT,Promo,Personnel,Federation,images/AGT/AGT-025.jpeg,,,,
AGT-026,❖ Uri'lash,All Good Things,AGT,Promo,Personnel,Ferengi,images/AGT/AGT-026.jpeg,,,,
AGT-027,K'Temoc,All Good Things,AGT,Promo,Personnel,Klingon,images/AGT/AGT-027.jpeg,,,,
AGT-028,Anij,All Good Things,AGT,Promo,Personnel,Non-Aligned,images/AGT/AGT-028.jpeg,,,,
AGT-029,Artim,All Good Things,AGT,Promo,Personnel,Non-Aligned,images/AGT/AGT-029.jpeg,,,,
AGT-030,Raimus,All Good Things,AGT,Promo,Personnel,Non-Aligned,images/AGT/AGT-030.jpeg,,,,
AGT-031,Sojef,All Good Things,AGT,Promo,Personnel,Non-Aligned,images/AGT/AGT-031.jpeg,,,,
AGT-032,Sunad,All Good Things,AGT,Promo,Personnel,Non-Aligned,images/AGT/AGT-032.jpeg,,,,
AGT-033,Tournel,All Good Things,AGT,Promo,Personnel,Non-Aligned,images/AGT/AGT-033.jpeg,,,,
AGT-034,Weyoun 6,All Good Things,AGT,Promo,Personnel,Non-Aligned,images/AGT/AGT-034.jpeg,,,,
AGT-035,Reklar,All Good Things,AGT,Promo,Ship,Cardassian,images/AGT/AGT-035.jpeg,,,,
AGT-036,U.S.S. Drake,All Good Things,AGT,Promo,Ship,Federation,images/AGT/AGT-036.jpeg,,,,
AGT-037,U.S.S. Grissom,All Good Things,AGT,Promo,Ship,Federation,images/AGT/AGT-037.jpeg,,,,
AGT-038,U.S.S. Pegasus,All Good Things,AGT,Promo,Ship,Federation,images/AGT/AGT-038.jpeg,,,,
AGT-039,Calondon,All Good Things,AGT,Promo,Ship,Non-Aligned,images/AGT/AGT-039.jpeg,,,,
AGT-040,❖ Lokirrim Vessel,All Good Things,AGT,Promo,Ship,Non-Aligned,images/AGT/AGT-040.jpeg,,,,
AGT-041,Tsunkatse Ship,All Good Things,AGT,Promo,Ship,Non-Aligned,images/AGT/AGT-041.jpeg,,,,
ALT-001,Cryosatellite,Alternate Universe,ALT,Rare,Artifact,,images/ALT/ALT-001.jpeg,,,,
ALT-002,Data's Head,Alternate Universe,ALT,Rare,Artifact,,images/ALT/ALT-002.jpeg,,,,
ALT-003,Iconian Gateway ,Alternate Universe,ALT,Rare,Artifact,,images/ALT/ALT-003.jpeg,,,,
ALT-004,Ophidian Cane,Alternate Universe,ALT,Rare,Artifact,,images/ALT/ALT-004.jpeg,,,,
ALT-005,Receptacle Stones,Alternate Universe,ALT,Rare,Artifact,,images/ALT/ALT-005.jpeg,,,,
ALT-006,Ressikan Flute,Alternate Universe,ALT,Rare,Artifact,,images/ALT/ALT-006.jpeg,,,,
ALT-007,Samuel Clemens' Pocketwatch,Alternate Universe,ALT,Rare,Artifact,,images/ALT/ALT-007.jpeg,,,,
ALT-008,Alien Labyrinth,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-008.jpeg,,,,
ALT-009,Cardassian Trap ,Alternate Universe,ALT,Uncommon,Dilemma,,images/ALT/ALT-009.jpeg,,,,
ALT-010,Coalescent Organism,Alternate Universe,ALT,Rare,Dilemma,,images/ALT/ALT-010.jpeg,,,,
ALT-011,Conundrum,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-011.jpeg,,,,
ALT-012,Edo Probe,Alternate Universe,ALT,Uncommon,Dilemma,,images/ALT/ALT-012.jpeg,,,,
ALT-013,Empathic Echo,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-013.jpeg,,,,
ALT-014,Ferengi Attack,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-014.jpeg,,,,
ALT-015,Frame of Mind,Alternate Universe,ALT,Uncommon,Dilemma,,images/ALT/ALT-015.jpeg,,,,
ALT-016,Hidden Entrance,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-016.jpeg,,,,
ALT-017,Hunter Gangs,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-017.jpeg,,,,
ALT-018,Interphasic Plasma Creatures,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-018.jpeg,,,,
ALT-019,Malfunctioning Door,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-019.jpeg,,,,
ALT-020,Maman Picard,Alternate Universe,ALT,Uncommon,Dilemma,,images/ALT/ALT-020.jpeg,,,,
ALT-021,Outpost Raid,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-021.jpeg,,,,
ALT-022,Parallel Romance,Alternate Universe,ALT,Uncommon,Dilemma,,images/ALT/ALT-022.jpeg,,,,
ALT-023,Punishment Zone,Alternate Universe,ALT,Common,Dilemma,,images/ALT/ALT-023.jpeg,,,,
ALT-024,Quantum Singularity Lifeforms,Alternate Universe,ALT,Uncommon,Dilemma,,images/ALT/ALT-024.jpeg,,,,
