ID,Name,Set Name,Set Code,Rarity,Card Type,Affiliation,File Name,Has AI,Has Foil,Has Tribble,Tags
AGT-001,Environmental Suit,All Good Things,AGT,Promo,Equipment,,AGT-001.jpeg,,,,
AGT-002,Espionage: Bajoran on Dominion,All Good Things,AGT,Promo,Event,,AGT-002.jpeg,,,,
AGT-003,Shape-Shift Inhibitor,All Good Things,AGT,Promo,Event,,AGT-003.jpeg,,,,
AGT-004,Timepod Ring,All Good Things,AGT,Promo,Event,,AGT-004.jpeg,,,,
AGT-005,Treacherous Advice,All Good Things,AGT,Promo,Event,,AGT-005.jpeg,,,,
AGT-006,Bluegill Infestation,All Good Things,AGT,Promo,Incident,,AGT-006.jpeg,,,,
AGT-007,Kobayashi Maru Scenario,All Good Things,AGT,Promo,Incident,,AGT-007.jpeg,,,,
AGT-008,Strategema,All Good Things,AGT,Promo,Incident,,AGT-008.jpeg,,,,
AGT-009,Changeling Sweep,All Good Things,AGT,Promo,Interrupt,,AGT-009.jpeg,,,,
AGT-010,Dimensional Shifting,All Good Things,AGT,Promo,Interrupt,,AGT-010.jpeg,,,,
AGT-011,Empathic Touch,All Good Things,AGT,Promo,Interrupt,,AGT-011.jpeg,,,,
AGT-012,Aid Clone Colony,All Good Things,AGT,Promo,Mission,,AGT-012.jpeg,,,,
AGT-013,In for a Trim,All Good Things,AGT,Promo,Objective,,AGT-013.jpeg,,,,
AGT-014,Colonel Kira,All Good Things,AGT,Promo,Personnel,Bajoran,AGT-014.jpeg,,,,
AGT-015,❖ Shandor,All Good Things,AGT,Promo,Personnel,Bajoran,AGT-015.jpeg,,,,
AGT-016,Admiral Janeway,All Good Things,AGT,Promo,Personnel,Federation,AGT-016.jpeg,,,,
AGT-017,Admiral Riker,All Good Things,AGT,Promo,Personnel,Federation,AGT-017.jpeg,,,,
AGT-018,Christopher Pike,All Good Things,AGT,Promo,Personnel,Federation,AGT-018.jpeg,,,,
AGT-019,Gideon Seyetik,All Good Things,AGT,Promo,Personnel,Federation,AGT-019.jpeg,,,,
AGT-020,❖ Lt. Palmer,All Good Things,AGT,Promo,Personnel,Federation,AGT-020.jpeg,,,,
AGT-021,Miral Paris,All Good Things,AGT,Promo,Personnel,Federation/Klingon,AGT-021.jpeg,,,,
AGT-022,Miral Paris,All Good Things,AGT,Promo,Personnel,Klingon/Federation,AGT-022-ai.jpeg,true,,,
AGT-023,Raymond Boone,All Good Things,AGT,Promo,Personnel,Federation,AGT-023.jpeg,,,,
AGT-024,Robert DeSoto,All Good Things,AGT,Promo,Personnel,Federation,AGT-024.jpeg,,,,
AGT-025,Yeoman Rand,All Good Things,AGT,Promo,Personnel,Federation,AGT-025.jpeg,,,,
AGT-026,❖ Uri'lash,All Good Things,AGT,Promo,Personnel,Ferengi,AGT-026.jpeg,,,,
AGT-027,K'Temoc,All Good Things,AGT,Promo,Personnel,Klingon,AGT-027.jpeg,,,,
AGT-028,Anij,All Good Things,AGT,Promo,Personnel,Non-Aligned,AGT-028.jpeg,,,,
AGT-029,Artim,All Good Things,AGT,Promo,Personnel,Non-Aligned,AGT-029.jpeg,,,,
AGT-030,Raimus,All Good Things,AGT,Promo,Personnel,Non-Aligned,AGT-030.jpeg,,,,
AGT-031,Sojef,All Good Things,AGT,Promo,Personnel,Non-Aligned,AGT-031.jpeg,,,,
AGT-032,Sunad,All Good Things,AGT,Promo,Personnel,Non-Aligned,AGT-032.jpeg,,,,
AGT-033,Tournel,All Good Things,AGT,Promo,Personnel,Non-Aligned,AGT-033.jpeg,,,,
AGT-034,Weyoun 6,All Good Things,AGT,Promo,Personnel,Non-Aligned,AGT-034.jpeg,,,,
AGT-035,Reklar,All Good Things,AGT,Promo,Ship,Cardassian,AGT-035.jpeg,,,,
AGT-036,U.S.S. Drake,All Good Things,AGT,Promo,Ship,Federation,AGT-036.jpeg,,,,
AGT-037,U.S.S. Grissom,All Good Things,AGT,Promo,Ship,Federation,AGT-037.jpeg,,,,
AGT-038,U.S.S. Pegasus,All Good Things,AGT,Promo,Ship,Federation,AGT-038.jpeg,,,,
AGT-039,Calondon,All Good Things,AGT,Promo,Ship,Non-Aligned,AGT-039.jpeg,,,,
AGT-040,❖ Lokirrim Vessel,All Good Things,AGT,Promo,Ship,Non-Aligned,AGT-040.jpeg,,,,
AGT-041,Tsunkatse Ship,All Good Things,AGT,Promo,Ship,Non-Aligned,AGT-041.jpeg,,,,
ALT-001,Cryosatellite,Alternate Universe,ALT,Rare,Artifact,,ALT-001.jpeg,,,,
ALT-002,Data's Head,Alternate Universe,ALT,Rare,Artifact,,ALT-002.jpeg,,,,
ALT-003,Iconian Gateway ,Alternate Universe,ALT,Rare,Artifact,,ALT-003.jpeg,,,,
ALT-004,Ophidian Cane,Alternate Universe,ALT,Rare,Artifact,,ALT-004.jpeg,,,,
ALT-005,Receptacle Stones,Alternate Universe,ALT,Rare,Artifact,,ALT-005.jpeg,,,,
ALT-006,Ressikan Flute,Alternate Universe,ALT,Rare,Artifact,,ALT-006.jpeg,,,,
ALT-007,Samuel Clemens' Pocketwatch,Alternate Universe,ALT,Rare,Artifact,,ALT-007.jpeg,,,,
ALT-008,Alien Labyrinth,Alternate Universe,ALT,Common,Dilemma,,ALT-008.jpeg,,,,
ALT-009,Cardassian Trap ,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-009.jpeg,,,,
ALT-010,Coalescent Organism,Alternate Universe,ALT,Rare,Dilemma,,ALT-010.jpeg,,,,
ALT-011,Conundrum,Alternate Universe,ALT,Common,Dilemma,,ALT-011.jpeg,,,,
ALT-012,Edo Probe,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-012.jpeg,,,,
ALT-013,Empathic Echo,Alternate Universe,ALT,Common,Dilemma,,ALT-013.jpeg,,,,
ALT-014,Ferengi Attack,Alternate Universe,ALT,Common,Dilemma,,ALT-014.jpeg,,,,
ALT-015,Frame of Mind,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-015.jpeg,,,,
ALT-016,Hidden Entrance,Alternate Universe,ALT,Common,Dilemma,,ALT-016.jpeg,,,,
ALT-017,Hunter Gangs,Alternate Universe,ALT,Common,Dilemma,,ALT-017.jpeg,,,,
ALT-018,Interphasic Plasma Creatures,Alternate Universe,ALT,Common,Dilemma,,ALT-018.jpeg,,,,
ALT-019,Malfunctioning Door,Alternate Universe,ALT,Common,Dilemma,,ALT-019.jpeg,,,,
ALT-020,Maman Picard,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-020.jpeg,,,,
ALT-021,Outpost Raid,Alternate Universe,ALT,Common,Dilemma,,ALT-021.jpeg,,,,
ALT-022,Parallel Romance,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-022.jpeg,,,,
ALT-023,Punishment Zone,Alternate Universe,ALT,Common,Dilemma,,ALT-023.jpeg,,,,
ALT-024,Quantum Singularity Lifeforms,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-024.jpeg,,,,
ALT-025,Rascals,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-025.jpeg,,,,
ALT-026,Royale Casino: Blackjack,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-026.jpeg,,,,
ALT-027,The Gatherers,Alternate Universe,ALT,Common,Dilemma,,ALT-027.jpeg,,,,
ALT-028,The Higher... The Fewer,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-028.jpeg,,,,
ALT-029,Thought Fire,Alternate Universe,ALT,Common,Dilemma,,ALT-029.jpeg,,,,
ALT-030,Worshiper,Alternate Universe,ALT,Common,Dilemma,,ALT-030.jpeg,,,,
ALT-031,Zaldan,Alternate Universe,ALT,Uncommon,Dilemma,,ALT-031.jpeg,,,,
ALT-032,Alternate Universe Door,Alternate Universe,ALT,Common,Doorway,,ALT-032.jpeg,,,,
ALT-033,Devidian Door,Alternate Universe,ALT,Rare,Doorway,,ALT-033.jpeg,,,,
ALT-034,Echo Papa 607 Killer Drone,Alternate Universe,ALT,Rare,Equipment,,ALT-034.jpeg,,,,
ALT-035,I.P. Scanner,Alternate Universe,ALT,Common,Equipment,,ALT-035.jpeg,,,,
ALT-036,Baryon Buildup,Alternate Universe,ALT,Common,Event,,ALT-036.jpeg,,,,
ALT-037,Captain's Log,Alternate Universe,ALT,Uncommon,Event,,ALT-037.jpeg,,,,
ALT-038,Engage Shuttle Operations ,Alternate Universe,ALT,Uncommon,Event,,ALT-038.jpeg,,,,
ALT-039,Interrogation,Alternate Universe,ALT,Rare,Event,,ALT-039.jpeg,,,,
ALT-040,Intruder Force Field,Alternate Universe,ALT,Uncommon,Event,,ALT-040.jpeg,,,,
ALT-041,Klim Dokachin ,Alternate Universe,ALT,Uncommon,Event,,ALT-041.jpeg,,,,
ALT-042,Lower Decks,Alternate Universe,ALT,Uncommon,Event,,ALT-042.jpeg,,,,
ALT-043,Mot's Advice,Alternate Universe,ALT,Uncommon,Event,,ALT-043.jpeg,,,,
ALT-044,Particle Scattering Field,Alternate Universe,ALT,Common,Event,,ALT-044.jpeg,,,,
ALT-045,Revolving Door ,Alternate Universe,ALT,Rare,Event,,ALT-045.jpeg,,,,
ALT-046,Rishon Uxbridge ,Alternate Universe,ALT,Common,Event,,ALT-046.jpeg,,,,
ALT-047,The Charybdis,Alternate Universe,ALT,Uncommon,Event,,ALT-047.jpeg,,,,
ALT-048,The Mask of Korgano,Alternate Universe,ALT,Common,Event,,ALT-048.jpeg,,,,
ALT-049,Thermal Deflectors,Alternate Universe,ALT,Uncommon,Event,,ALT-049.jpeg,,,,
ALT-050,Wartime Conditions,Alternate Universe,ALT,Rare,Event,,ALT-050.jpeg,,,,
ALT-051,Yellow Alert ,Alternate Universe,ALT,Common,Event,,ALT-051.jpeg,,,,
ALT-052,❖ Neutral Outpost ,Alternate Universe,ALT,Common,Facility,Neutral,ALT-052.jpeg,,,,
ALT-053,Anti-Matter Spread,Alternate Universe,ALT,Common,Interrupt,,ALT-053.jpeg,,,,
ALT-054,Barclay Transporter Phobia,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-054.jpeg,,,,
ALT-055,Brain Drain,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-055.jpeg,,,,
ALT-056,Countermanda,Alternate Universe,ALT,Common,Interrupt,,ALT-056.jpeg,,,,
ALT-057,Dead in Bed,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-057.jpeg,,,,
ALT-058,Destroy Radioactive Garbage Scow,Alternate Universe,ALT,Common,Interrupt,,ALT-058.jpeg,,,,
ALT-059,Devidian Foragers,Alternate Universe,ALT,Common,Interrupt,,ALT-059.jpeg,,,,
ALT-060,Eyes in the Dark,Alternate Universe,ALT,Common,Interrupt,,ALT-060.jpeg,,,,
ALT-061,Fire Sculptor,Alternate Universe,ALT,Common,Interrupt,,ALT-061.jpeg,,,,
ALT-062,Hail,Alternate Universe,ALT,Common,Interrupt,,ALT-062.jpeg,,,,
ALT-063,Howard Heirloom Candle,Alternate Universe,ALT,Common,Interrupt,,ALT-063.jpeg,,,,
ALT-064,Humuhumunukunukuapua'a,Alternate Universe,ALT,Common,Interrupt,,ALT-064.jpeg,,,,
ALT-065,Incoming Message: Attack Authorization,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-065.jpeg,,,,
ALT-066,Isabella,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-066.jpeg,,,,
ALT-067,Jamaharon,Alternate Universe,ALT,Common,Interrupt,,ALT-067.jpeg,,,,
ALT-068,Kevin Uxbridge: Convergence,Alternate Universe,ALT,Common,Interrupt,,ALT-068.jpeg,,,,
ALT-069,La Forge Maneuver,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-069.jpeg,,,,
ALT-070,Latinum Payoff ,Alternate Universe,ALT,Common,Interrupt,,ALT-070.jpeg,,,,
ALT-071,Phaser Burns ,Alternate Universe,ALT,Common,Interrupt,,ALT-071.jpeg,,,,
ALT-072,Rescue Captives,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-072.jpeg,,,,
ALT-073,Romulan Ambush,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-073.jpeg,,,,
ALT-074,Security Sacrifice,Alternate Universe,ALT,Common,Interrupt,,ALT-074.jpeg,,,,
ALT-075,Seize Wesley,Alternate Universe,ALT,Rare,Interrupt,,ALT-075.jpeg,,,,
ALT-076,Senior Staff Meeting,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-076.jpeg,,,,
ALT-077,Temporal Narcosis,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-077.jpeg,,,,
ALT-078,Thine Own Self ,Alternate Universe,ALT,Common,Interrupt,,ALT-078.jpeg,,,,
ALT-079,Vorgon Raiders,Alternate Universe,ALT,Rare,Interrupt,,ALT-079.jpeg,,,,
ALT-080,Vulcan Nerve Pinch ,Alternate Universe,ALT,Common,Interrupt,,ALT-080.jpeg,,,,
ALT-081,Wolf,Alternate Universe,ALT,Uncommon,Interrupt,,ALT-081.jpeg,,,,
ALT-082,Brute Force,Alternate Universe,ALT,Rare,Mission,,ALT-082.jpeg,,,,
ALT-083,Compromised Mission,Alternate Universe,ALT,Rare,Mission,,ALT-083.jpeg,,,,
ALT-084,Diplomatic Conference ,Alternate Universe,ALT,Rare,Mission,,ALT-084.jpeg,,,,
ALT-085,FGC-47 Research,Alternate Universe,ALT,Rare,Mission,,ALT-085.jpeg,,,,
ALT-086,Fissure Research,Alternate Universe,ALT,Rare,Mission,,ALT-086.jpeg,,,,
ALT-087,Qualor II Rendezvous,Alternate Universe,ALT,Uncommon,Mission,,ALT-087.jpeg,,,,
ALT-088,Quash Conspiracy,Alternate Universe,ALT,Rare,Mission,,ALT-088.jpeg,,,,
ALT-089,Reunion ,Alternate Universe,ALT,Rare,Mission,,ALT-089.jpeg,,,,
ALT-090,Risa Shore Leave,Alternate Universe,ALT,Rare,Mission,,ALT-090.jpeg,,,,
ALT-091,Warped Space,Alternate Universe,ALT,Rare,Mission,,ALT-091.jpeg,,,,
ALT-092,Beverly Picard,Alternate Universe,ALT,Rare,Personnel,Federation,ALT-092.jpeg,,,,
ALT-093,Ian Andrew Troi,Alternate Universe,ALT,Rare,Personnel,Federation,ALT-093.jpeg,,,,
ALT-094,Jack Crusher,Alternate Universe,ALT,Rare,Personnel,Federation,ALT-094.jpeg,,,,
ALT-095,Lt. (j.g.) Picard,Alternate Universe,ALT,Uncommon,Personnel,Federation,ALT-095.jpeg,,,,
ALT-096,Montgomery Scott,Alternate Universe,ALT,Common,Personnel,Federation,ALT-096.jpeg,,,,
ALT-097,❖ Paul Rice,Alternate Universe,ALT,Uncommon,Personnel,Federation,ALT-097.jpeg,,,,
ALT-098,Rachel Garrett,Alternate Universe,ALT,Rare,Personnel,Federation,ALT-098.jpeg,,,,
ALT-099,Richard Castillo,Alternate Universe,ALT,Uncommon,Personnel,Federation,ALT-099.jpeg,,,,
ALT-100,Tasha Yar - Alternate,Alternate Universe,ALT,Rare,Personnel,Federation,ALT-100.jpeg,,,,
ALT-101,Governor Worf,Alternate Universe,ALT,Rare,Personnel,Klingon,ALT-101.jpeg,,,,
ALT-102,K'mtar,Alternate Universe,ALT,Rare,Personnel,Klingon,ALT-102.jpeg,,,,
ALT-103,❖ Targ,Alternate Universe,ALT,Common,Personnel,Klingon,ALT-103.jpeg,,,,
ALT-104,Ajur,Alternate Universe,ALT,Uncommon,Personnel,Non-Aligned,ALT-104.jpeg,,,,
ALT-105,Berlingoff Rasmussen,Alternate Universe,ALT,Rare,Personnel,Non-Aligned,ALT-105.jpeg,,,,
ALT-106,Boratus,Alternate Universe,ALT,Uncommon,Personnel,Non-Aligned,ALT-106.jpeg,,,,
ALT-107,Dathon,Alternate Universe,ALT,Rare,Personnel,Non-Aligned,ALT-107.jpeg,,,,
ALT-108,Lakanta,Alternate Universe,ALT,Uncommon,Personnel,Non-Aligned,ALT-108.jpeg,,,,
ALT-109,Maques,Alternate Universe,ALT,Uncommon,Personnel,Non-Aligned,ALT-109.jpeg,,,,
ALT-110,Mickey D.,Alternate Universe,ALT,Uncommon,Personnel,Non-Aligned,ALT-110.jpeg,,,,
ALT-111,Commander Tomalak,Alternate Universe,ALT,Rare,Personnel,Romulan,ALT-111.jpeg,,,,
ALT-112,D'Tan,Alternate Universe,ALT,Uncommon,Personnel,Romulan,ALT-112.jpeg,,,,
ALT-113,Major Rakal,Alternate Universe,ALT,Rare,Personnel,Romulan/Federation,ALT-113.jpeg,,,,
ALT-114,Stefan DeSeve,Alternate Universe,ALT,Rare,Personnel,Romulan/Federation,ALT-114.jpeg,,,,
ALT-115,Future Enterprise,Alternate Universe,ALT,Uncommon,Ship,Federation,ALT-115.jpeg,,,,
ALT-116,U.S.S. Enterprise-C,Alternate Universe,ALT,Rare,Ship,Federation,ALT-116.jpeg,,,,
