ID,Name,Set Name,Set Code,Rarity,Card Type,Affiliation,File Name,Has AI,Has Foil,Has Tribble,Tags
RFR-001,Q's Tent ,Referee Reprints,RFR,CV,Doorway,,RFR-001.jpeg,,,,
RFR-002,Temporal Vortex,Referee Reprints,RFR,UV,Doorway,,RFR-002.jpeg,,,,
RFR-003,Fair Play,Referee Reprints,RFR,CV,Event,,RFR-003.jpeg,,,,
RFR-004,Fair Play,Referee Reprints,RFR,UV,Event,,RFR-004.jpeg,,,,
RFR-005,Intermix Ratio,Referee Reprints,RFR,CV,Event,,RFR-005.jpeg,,,,
RFR-006,Mirror Image,Referee Reprints,RFR,CV,Event,,RFR-006.jpeg,,,,
RFR-007,Shape-Shift Inhibitor,Referee Reprints,RFR,CV,Event,,RFR-007.jpeg,,,,
RFR-008,The Big Picture,Referee Reprints,RFR,UV,Event,,RFR-008.jpeg,,,,
RFR-009,The Big Picture,Referee Reprints,RFR,CV,Event,,RFR-009.jpeg,,,,
RFR-010,Villagers With Torches,Referee Reprints,RFR,CV,Event,,RFR-010.jpeg,,,,
RFR-011,Access Denied ,Referee Reprints,RFR,CV,Incident,,RFR-011.jpeg,,,,
RFR-012,Containment Field ,Referee Reprints,RFR,CV,Incident,,RFR-012.jpeg,,,,
RFR-013,Feedback Surge,Referee Reprints,RFR,CV,Incident,,RFR-013.jpeg,,,,
RFR-014,HQ: Orbital Weapons Platform,Referee Reprints,RFR,CV,Incident,,RFR-014.jpeg,,,,
RFR-015,In the Zone,Referee Reprints,RFR,CV,Incident,,RFR-015.jpeg,,,,
RFR-016,Intruder Alert!,Referee Reprints,RFR,UV,Incident,,RFR-016.jpeg,,,,
RFR-017,It's Only a Game,Referee Reprints,RFR,CV,Incident,,RFR-017.jpeg,,,,
RFR-018,Obelisk of Masaka ,Referee Reprints,RFR,CV,Incident,,RFR-018.jpeg,,,,
RFR-019,Panel Overload,Referee Reprints,RFR,UV,Incident,,RFR-019.jpeg,,,,
RFR-020,Q the Referee,Referee Reprints,RFR,CV,Incident,,RFR-020.jpeg,,,,
RFR-021,Reactor Overload,Referee Reprints,RFR,RV,Incident,,RFR-021.jpeg,,,,
RFR-022,Scanner Interference,Referee Reprints,RFR,UV,Incident,,RFR-022.jpeg,,,,
RFR-023,Strategema,Referee Reprints,RFR,CV,Incident,,RFR-023.jpeg,,,,
RFR-024,White Deprivation,Referee Reprints,RFR,CV,Incident,,RFR-024.jpeg,,,,
RFR-025,Writ of Accountability,Referee Reprints,RFR,CV,Incident,,RFR-025.jpeg,,,,
RFR-026,Oof!,Referee Reprints,RFR,CV,Interrupt,,RFR-026.jpeg,,,,
RFR-027,Scorched Hand,Referee Reprints,RFR,RV,Interrupt,,RFR-027.jpeg,,,,
RFR-028,The Juggler,Referee Reprints,RFR,CV,Interrupt,,RFR-028.jpeg,,,,
RFR-029,The Wake of the Borg,Referee Reprints,RFR,UV,Interrupt,,RFR-029.jpeg,,,,
RFR-030,Defend Homeworld,Referee Reprints,RFR,CV,Objective,,RFR-030.jpeg,,,,
RFR-031,Operate Wormhole Relays,Referee Reprints,RFR,RV,Objective,,RFR-031.jpeg,,,,
